Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ExtendedChromaKey_Label,,拡張クロマキー,Extended Chroma Key,扩展色度键,擴展色度鍵,확장 크로마키,Croma Key Extendido,مفتاح كروما موسع,Kroma Key yang Diperluas,
GroupName_BasicSettings,,基本設定,Basic Settings,基本设置,基本設定,기본 설정,Configuración Básica,الإعدادات الأساسية,Pengaturan Dasar,
GroupName_KeyingMode,,キーイングモード,Keying Mode,抠像模式,去背模式,키잉 모드,Modo de Recorte,وضع المفتاح,Mode Keying,
GroupName_KeyingAdjustment,,キーイング調整,Keying Adjustment,抠像调整,去背調整,키잉 조정,Ajuste de Recorte,ضبط المفتاح,Penyesuaian Keying,
GroupName_Gradient,,グラデーション,Gradient,渐变,漸層,그라데이션,Degradado,تدرج,Gradasi,
GroupName_ColorReplacement,,色置換,Color Replacement,颜色替换,色彩取代,색상 오버레이,Reemplazo de Color,استبدال اللون,Penggantian Warana,
GroupName_QualityOptimization,,品質最適化,Quality Optimization,质量优化,品質最佳化,품질 최적화,Optimización de Calidad,تحسين الجودة,Optimasi Kualitas,
GroupName_ExceptionSettings,,例外設定,Exception Settings,例外设置,例外設定,예외 설정,Excepciones,إعدادات الاستثناء,Pengaturan Pengecualian,
GroupName_ColorCorrection,,色補正,Color Correction,色彩校正,色彩校正,색상 보정,Corrección de Color,تصحيح الألوان,Koreksi Warna,
GroupName_Other,,その他,Other,其他,其他,기타,Otros,أخرى,Lainnya,
GroupName_Debug,,デバッグ,Debug,调试,偵錯,디버그,Depurar,تصحيح,Debug,
BaseColor_Name,,基本色,Base Color,基本色,基本色,기본 색상,Color Base,اللون الأساسي,Warna Dasar,
BaseColor_Desc,,透過する基本色を指定します。,Specifies the base color for transparency.,指定需要透明的基本颜色。,指定需要透明的基本顏色。,투명하게 만들 기본 색상을 지정합니다.,Especifica el color base para la transparencia.,يحدد اللون الأساسي للشفافية.,Menentukan warna dasar untuk transparansi.,
EndColor_Name,,終端色,End Color,结束色,終端色,끝 색상,Color Final,لون النهاية,Warna Akhir,
EndColor_Desc,,グラデーションの終端色を指定します。基本色とこの色の間がクロマキー対象になります。,Specifies the end color of the gradient. The range between the base color and this color will be keyed.,指定渐变的结束颜色。基本色与此色之间的范围将被作为抠像对象。,指定漸層的終端色。基本色與此色之間的範圍將作為去背標的。,그라데이션의 끝 색상을 지정합니다. 기본 색상과 이 색상 사이가 크로마키 대상이 됩니다.,Especifica el color final del degradado. El rango entre el color base y este color será recortado.,يحدد لون نهاية التدرج. سيتم تحديد النطاق بين اللون الأساسي وهذا اللون.,Menentukan warna akhir gradasi. Rentang antara warna dasar dan warna ini akan dipotong.,
MainKeyColor_Name,,主要キーイング色,Main Key Color,主要抠像色,主要去背色,주요 키잉 색상,Color Principal de Recorte,مفتاح اللون الرئيسي,Warna Kunci Utama,
MainKeyColor_Desc,,キーイングの基準となる主要な色を選択します。背景色に合わせて選択してください。,Select the primary color to be keyed. Choose according to your background color.,选择抠像的参考主色。请根据背景颜色进行选择。,選擇去背的參考主色。請根據背景色彩進行選擇。,키잉의 기준이 되는 주요 색상을 선택합니다. 배경색에 맞게 선택하세요.,Seleccione el color principal para recortar. Elija según el color de fondo.,حدد اللون الرئيسي المراد مفتاحه. اختر وفقا للون الخلفية.,Pilih warna utama yang akan dikunci. Sesuaikan dengan warna latar belakang.,
Tolerance_Name,,許容値,Tolerance,容差,容差,허용 오차,Tolerancia,التسامح,Toleransi,
Tolerance_Desc,,色の許容範囲。0%に設定すると選択した色のみが対象になります。,Tolerance range for the key color. 0% targets only the exact selected color.,颜色的允许范围。设置为 0% 时仅处理所选的绝对颜色。,色彩的容許範圍。設為 0% 時僅處理選取的絕對色彩。,색상의 허용 범위입니다. 0%로 설정하면 선택한 색상만 대상이 됩니다.,Rango de tolerancia. En 0% solo afecta el color exacto seleccionado.,نطاق التسامح للون. 0% يستهدف اللون المحدد بالضبط.,Toleransi rentang warna. 0% hanya akan memotong warna yang sama persis.,
LuminanceMix_Name,,輝度ミックス,Luminance Mix,亮度混合,亮度混合,휘도 혼합,Mezcla de Luminancia,مزيج النصوع,Campuran Luminasi,
LuminanceMix_Desc,,輝度をキーイング判定にどれだけ使用するかを調整します。値を上げると、明るい部分（発光など）が背景から分離されやすくなります。,Adjusts how much luminance is used for keying. Higher values help separate bright areas from the background.,调整在抠像判定中使用多少亮度信息。数值越大，发光等明亮部分越容易与背景分离。,調整在去背判定中使用多少亮度資訊。數值越大，發光等明亮部分越容易與背景分離。,키잉 판정에 휘도를 얼마나 사용할지 조정합니다. 값을 올리면 밝은 부분이 배경에서 더 쉽게 분리됩니다.,Ajusta cuánta luminancia usar en el recorte. Valores altos separan mejor las áreas brillantes.,يضبط مقدار النصوع المستخدم. القيم الأعلى تساعد على فصل المناطق الساطعة بسهولة أكبر.,Menyesuaikan seberapa banyak pencahayaan digunakan untuk keying. Nilai tinggi membantu memisahkan area terang dari latar belakang.,
EdgeSoftness_Name,,エッジの柔らかさ,Edge Softness,边缘柔和度,邊緣柔和度,가장자리 부드러움,Suavidad de Borde,نعومة الحافة,Kelembutan Tepi,
EdgeSoftness_Desc,,透過境界の柔らかさを調整します。,Adjusts the softness of the transparent boundary.,调整透明边界的柔和度。,調整透明邊界的柔和度。,투명 경계의 부드러움을 조정합니다.,Ajusta la suavidad del límite transparente.,يضبط نعومة حدود الشفافية.,Menyesuaikan kelembutan batas transparan.,
ClipBlack_Name,,クリップ(黒),Clip Black,剪切(黑),剪裁(黑),클립(블랙),Recorte Negro,مقطع أسود,Klip Hitam,
ClipBlack_Desc,,マスクの黒レベルを調整します。背景のノイズ除去に有効です。,Adjusts the black level of the matte. Useful for removing background noise.,调整遮罩的黑电平。用于去除背景噪点。,調整遮罩的黑階。適用於去除背景雜訊。,마스크의 검은색 레벨을 조정합니다. 배경의 노이즈를 제거하는 데 효과적입니다.,Ajusta el nivel negro del mate. Útil para eliminar ruido del fondo.,يضبط مستوى الأسود للقناع. مفيد لإزالة ضوضاء الخلفية.,Menyesuaikan tingkat hitam pada matte. Berguna untuk menghilangkan noise latar belakang.,
ClipWhite_Name,,クリップ(白),Clip White,剪切(白),剪裁(白),클립(화이트),Recorte Blanco,مقطع أبيض,Klip Putih,
ClipWhite_Desc,,マスクの白レベルを調整します。前景（特に発光部分）をくっきりと残すのに有効です。,Adjusts the white level of the matte. Helps keep the foreground (especially luminous parts) solid.,调整遮罩的白电平。有效保留前景（特别是发光部分）的清晰度。,調整遮罩的白階。能有效保留前景（尤其是發光部分）的清晰度。,마스크의 흰색 레벨을 조정합니다. 전경(특히 발광 부분)을 뚜렷하게 남기는 데 효과적입니다.,Ajusta el nivel blanco. Mantiene el primer plano (especialmente partes luminosas) sólido.,يضبط مستوى الأبيض. يحافظ على المقدمة (خاصة الأجزاء المضيئة) صلبة.,Menyesuaikan tingkat putih pada matte. Membantu mempertahankan objek depan tetap jelas.,
EdgeBlur_Name,,エッジぼかし,Edge Blur,边缘模糊,邊緣模糊,가장자리 흐림,Desenfocar Borde,تمويه الحافة,Blur Tepi,
EdgeBlur_Desc,,マスクの境界をぼかして滑らかにします。粗いエッジの調整に有効です。,Blurs the edges of the matte to make them smoother. Good for fixing rough edges.,模糊遮罩边界以使其平滑。对调整粗糙边缘有效。,模糊遮罩邊界以使其平滑。對調整粗糙邊緣有效。,마스크의 경계를 흐리게 하여 매끄럽게 만듭니다. 거친 가장자리 조정에 효과적입니다.,Desenfoca los bordes del mate para suavizarlos. Ideal para bordes ásperos.,يموه حواف القناع لجعله أكثر سلاسة. مفيد لإصلاح الحواف الخشنة.,Membuat batas matte menjadi buram agar lebih halus. Efektif untuk batas kasar.,
GradientStrength_Name,,グラデーション強度,Gradient Strength,渐变强度,漸層強度,그라데이션 강도,Fuerza de Degradado,قوة التدرج,Kekuatan Gradasi,
GradientStrength_Desc,,グラデーション効果の強さを調整します。0%で基本色のみ、100%で基本色から終端色へのグラデーションになります。,"Adjusts the strength of the gradient effect. 0% is base color only, 100% is a full gradient to the end color.",调整渐变效果的强度。0% 表示仅基本色，100% 表示基本色到结束色的完全渐变。,調整漸層效果的強度。0% 表示僅有基本色，100% 表示基本色到終端色的完全漸層。,"그라데이션 효과의 강도를 조정합니다. 0%는 기본 색상, 100%는 끝 색상까지의 완벽한 그라데이션입니다.","Ajusta la fuerza del degradado. 0% es solo base, 100% es completo hasta el final.",يضبط قوة التدرج. 0% للون الأساسي فقط، 100% للتدرج الكامل للون النهائي.,"Menyesuaikan kekuatan efek gradasi. 0% hanya warna dasar, 100% gradasi penuh.",
GradientAngle_Name,,グラデーション角度,Gradient Angle,渐变角度,漸層角度,그라데이션 각도,Ángulo de Degradado,زاوية التدرج,Sudut Gradasi,
GradientAngle_Desc,,グラデーションの方向を度数で指定します。,Specifies the direction of the gradient in degrees.,以度数指定渐变的方向。,以角度指定漸層的方向。,그라데이션의 방향을 각도로 지정합니다.,Especifica la dirección del degradado en grados.,يحدد اتجاه التدرج بالدرجات.,Menentukan arah gradasi dalam derajat.,
ReplaceColor_Name,,置換色,Replace Color,替换颜色,取代色彩,대체 색상,Color a Reemplazar,لون الاستبدال,Ganti Warna,
ReplaceColor_Desc,,除去した領域を置き換える色を指定します。,Specifies the color to replace the removed area.,指定用于替换已被移除区域的颜色。,指定用於替換已被移除區域的色彩。,제거된 영역을 대체할 색상을 지정합니다.,Color para rellenar las áreas eliminadas.,يحدد اللون الذي سيحل محل المنطقة المزالة.,Menentukan warna untuk mengganti area yang dihapus.,
ReplaceIntensity_Name,,置換の強度,Replace Intensity,替换强度,取代強度,대체 강도,Intensidad,شدة الاستبدال,Intensitas Penggantian,
ReplaceIntensity_Desc,,除去領域を置換色で塗りつぶす強度。,Intensity of filling the removed area with the replace color.,用替换颜色填充被移除区域的强度。,用取代色彩填充被移除區域的強度。,제거된 영역을 대체 색상으로 채우는 강도입니다.,Intensidad de llenado con el color de reemplazo.,شدة التعبئة باللون البديل.,Intensitas pengisian area dengan warna ganti.,
PreserveLuminance_Name,,輝度保持,Preserve Luminance,保持亮度,保持亮度,휘도 유지,Mantener Luminancia,الحفاظ على النصوع,Pertahankan Luminasi,
PreserveLuminance_Desc,,色置換時に元の輝度をどれだけ保持するか。,How much of the original luminance to preserve when replacing color.,替换颜色时保留多少原始的亮度信息。,替換顏色時保留多少原始的亮度資訊。,색상을 대체할 때 원래의 휘도를 얼마나 유지할지 결정합니다.,Cuánta luminancia original mantener durante el reemplazo.,مقدار النصوع الأصلي الذي يجب الحفاظ عليه عند الاستبدال.,Seberapa banyak pencahayaan asli yang dipertahankan.,
ColorSpace_Name,,色空間(カスタム用),Color Space (Custom),色彩空间(自定义),色彩空間(自訂),색 공간(사용자 지정),Espacio de Color (Personalizado),مساحة اللون (مخصص),Ruang Warna (Kustom),
ColorSpace_Desc,,"「主要キーイング色」でカスタムを選択した場合の色距離計算に使用する色空間を選択します。","Selects the color space used to calculate color distance when the main key color is set to custom.","选择在主要抠像色设为自定义时用于计算颜色距离的色彩空间。","選擇在主要去背色設為自訂時用於計算顏色距離的色彩空間。","주요 키잉 색상이 사용자 지정일 때 색상 거리 계산에 사용할 색 공간을 선택합니다.","Elige el espacio de color para calcular distancia cuando el color principal es personalizado.","يحدد مساحة اللون لحساب المسافة عندما يكون المفتاح مخصصا.","Pilih ruang warna yang digunakan untuk jarak warna saat disetel ke kustom.",
HueRange_Name,,色相範囲,Hue Range,色相范围,色相範圍,색조 범위,Rango de Tono,نطاق تدرج اللون,Rentang Rona,
HueRange_Desc,,HSV/LCH色空間使用時の色相許容範囲。,Hue tolerance range when using HSV/LCH color spaces.,使用 HSV/LCH 色彩空间时的色相容差范围。,使用 HSV/LCH 色彩空間時的色相容差範圍。,HSV/LCH 색 공간을 사용할 때의 색조 허용 범위입니다.,Tolerancia de tono en espacios HSV/LCH.,نطاق تسامح صبغة اللون عند استخدام مساحات HSV/LCH.,Toleransi rentang rona saat menggunakan ruang warna HSV/LCH.,
SaturationThreshold_Name,,彩度閾値,Saturation Threshold,饱和度阈值,飽和度閾值,채도 임계값,Umbral de Saturación,عتبة التشبع,Ambang Batas Saturasi,
SaturationThreshold_Desc,,この値以下の彩度の色は、彩度を無視して明度で比較されます。,"Colors with saturation below this value will be compared by brightness, ignoring saturation.",饱和度低于此值的颜色将忽略饱和度，仅通过亮度进行比较。,飽和度低於此值的色彩將忽略飽和度，僅透過亮度進行比較。,이 값 이하의 채도를 가진 색상은 채도를 무시하고 명도로 비교됩니다.,Colores con saturación por debajo se compararán por brillo.,الألوان ذات التشبع الأقل سيتم مقارنتها بالسطوع متجاهلة التشبع.,Warna dengan saturasi di bawah ini akan dibandingkan berdasarkan kecerahan.,
LuminanceRange_Name,,明度範囲,Luminance Range,亮度范围,亮度範圍,명도 범위,Rango de Luminancia,نطاق النصوع,Rentang Luminasi,
LuminanceRange_Desc,,RGB/YUV色空間使用時の明度差の許容範囲。,Luminance difference tolerance when using RGB/YUV color spaces.,使用 RGB/YUV 色彩空间时的亮度差容差范围。,使用 RGB/YUV 色彩空間時的亮度差容差範圍。,RGB/YUV 색 공간을 사용할 때의 명도 차이 허용 범위입니다.,Tolerancia de diferencia de luminancia en RGB/YUV.,تسامح اختلاف النصوع عند استخدام مساحات RGB/YUV.,Toleransi perbedaan luminasi pada ruang warna RGB/YUV.,
SpillSuppression_Name,,スピル除去,Spill Suppression,溢色抑制,溢色抑制,스필 제거,Supresión de Derrame,إزالة الانسكاب,Penekan Tumpahan,
SpillSuppression_Desc,,背景色の被写体への全体的な映り込み（色かぶり）を除去します。,Removes background color casting (spill) on the subject.,去除被摄物体上来自背景颜色的反光（溢色）。,去除被攝物體上來自背景顏色的反光（溢色）。,피사체에 전체적으로 반사된 배경색(스필)을 제거합니다.,Elimina el color de fondo reflejado en el sujeto.,يزيل انعكاس لون الخلفية على الهدف.,Menghilangkan pantulan warna latar belakang pada objek.,
EdgeBalance_Name,,エッジバランス,Edge Balance,边缘平衡,邊緣平衡,가장자리 균형,Balance de Borde,توازن الحافة,Keseimbangan Tepi,
EdgeBalance_Desc,,キーイングの境界を内外に調整します。プラスで内側、マイナスで外側に移動します。,"Adjusts the boundary inwards/outwards. Positive moves inward, negative moves outward.",向内或向外调整抠像边界。正值向内，负值向外。,向內或向外調整去背邊界。正值向內，負值向外。,"키잉 경계를 안팎으로 조절합니다. 양수는 안쪽, 음수는 바깥쪽입니다.",Ajusta el límite hacia adentro (+)/afuera (-).,يضبط الحدود للداخل (+)/أو للخارج (-).,"Menyesuaikan batas ke dalam atau ke luar. Positif ke dalam, negatif ke luar.",
Despot_Name,,デスポット,Despot,去斑,除斑,디스팟(반점 제거),Despot,إزالة البقع,Despot,
